Player ID,Player,Pos,Squad,Sh/90,SoT/90,SoT%,G/Sh,G/SoT
862fa9fb,Davit Khocholava,DF,dk FC Copenhagen,0.21,0.0,0.0,0.0,
49296448,Joshua Kimmich,MF,de Bayern Munich,2.33,1.0,42.9,0.0,0.0
aef6e670,Presnel Kimpembe,DF,fr Paris S-G,0.0,0.0,,,
ca8033cb,Lukas Klostermann,DF,de RB Leipzig,0.0,0.0,,,
cd59b9df,Gregor Kobel,GK,de Dortmund,0.0,0.0,,,
55126f3b,Koke,MF,es Atlético Madrid,0.55,0.27,50.0,0.0,0.0
cce181df,Geoffrey Kondogbia,MF,es Atlético Madrid,2.8,0.0,0.0,0.0,
4d1666ff,Jules Koundé,DF,es Barcelona,0.0,0.0,,,
6ce1f46f,Toni Kroos,MF,es Real Madrid,1.07,0.11,10.0,0.0,0.0
dea88efd,Khvicha Kvaratskhelia,FW,it Napoli,4.55,1.43,31.4,0.03,0.09
c1b7847c,Konrad Laimer,"MF,FW",de RB Leipzig,0.69,0.0,0.0,0.0,
119b9a8e,Aymeric Laporte,DF,eng Manchester City,0.0,0.0,,,
4dbd0916,Thomas Lemar,MF,es Atlético Madrid,0.87,0.0,0.0,0.0,
1b82f8df,Lukas Lerager,MF,dk FC Copenhagen,1.4,0.8,57.1,0.0,0.0
8d78e732,Robert Lewandowski,FW,es Barcelona,4.9,2.04,41.7,0.21,0.5
b57e066e,Rico Lewis,DF,eng Manchester City,1.51,0.76,50.0,0.5,1.0
d6e53a3a,Matthijs de Ligt,DF,de Bayern Munich,0.15,0.0,0.0,0.0,
02c15616,Marcos Llorente,"MF,FW",es Atlético Madrid,0.42,0.0,0.0,0.0,
e9fda01d,Danny Loader,"FW,MF",pt Porto,6.92,3.46,50.0,0.0,0.0
e1cbb531,Stanislav Lobotka,MF,it Napoli,0.31,0.0,0.0,0.0,
a69e4806,Hirving Lozano,FW,it Napoli,2.31,0.77,33.3,0.08,0.25
5eae500a,Romelu Lukaku,FW,it Inter,5.35,2.92,54.5,0.18,0.33
3061e1ec,Andriy Lunin,GK,es Real Madrid,0.0,0.0,,,
892d5bb1,Riyad Mahrez,"FW,MF",eng Manchester City,1.6,0.71,44.4,0.22,0.5
116c35df,Donyell Malen,"FW,MF",de Dortmund,2.9,0.36,12.5,0.0,0.0
c20bdcd7,Reinildo Mandava,DF,es Atlético Madrid,0.53,0.0,0.0,0.0,
c691bfe2,Sadio Mané,FW,de Bayern Munich,2.45,1.63,66.7,0.2,0.3
7a20d90a,Iván Marcano,DF,pt Porto,0.33,0.0,0.0,0.0,
f0da930c,José María Giménez,DF,es Atlético Madrid,0.9,0.22,25.0,0.0,0.0
5c4dc0ff,Mariano,FW,es Real Madrid,0.0,0.0,,,
82a39b66,João Mário Lopes,DF,pt Porto,1.0,0.33,33.3,0.0,0.0
d5f2f82b,Marquinhos,DF,fr Paris S-G,0.28,0.14,50.0,0.0,0.0
f7036e1c,Lautaro Martínez,FW,it Inter,2.44,0.72,29.6,0.11,0.38
f3945e07,Toni Martínez,FW,pt Porto,3.19,0.0,0.0,0.0,
0e6bc38c,Eric Maxim Choupo-Moting,FW,de Bayern Munich,3.1,1.45,46.7,0.27,0.57
b74277a0,Noussair Mazraoui,DF,de Bayern Munich,0.92,0.23,25.0,0.0,0.0
42fd9c7f,Kylian Mbappé,FW,fr Paris S-G,3.46,1.94,56.0,0.24,0.43
8f696594,Memphis,FW,es Barcelona,0.0,0.0,,,
f20e4cc9,Nuno Mendes,"DF,MF",fr Paris S-G,0.21,0.21,100.0,1.0,1.0
3cefcaef,Ferland Mendy,DF,es Real Madrid,0.26,0.0,0.0,0.0,
9413b19f,Alex Meret,GK,it Napoli,0.0,0.0,,,
d70ce98e,Lionel Messi,"FW,MF",fr Paris S-G,3.38,1.17,34.8,0.17,0.5
e162b013,Thomas Meunier,DF,de Dortmund,0.51,0.0,0.0,0.0,
b56dd813,Alexander Meyer,GK,de Dortmund,0.0,0.0,,,
2784f898,Éder Militão,DF,es Real Madrid,0.48,0.12,25.0,0.25,1.0
e0f8151c,Kim Min-jae,DF,it Napoli,0.11,0.0,0.0,0.0,
dd0daf32,Henrikh Mkhitaryan,MF,it Inter,1.49,0.79,53.3,0.13,0.25
34e4343c,Anthony Modeste,FW,de Dortmund,1.06,0.0,0.0,0.0,
6025fab1,Luka Modrić,MF,es Real Madrid,0.73,0.24,33.3,0.17,0.5
23610943,Nahuel Molina,"DF,MF",es Atlético Madrid,0.58,0.0,0.0,0.0,
129af0db,Álvaro Morata,FW,es Atlético Madrid,1.22,0.61,50.0,0.0,0.0
6ce43701,Youssoufa Moukoko,"FW,MF",de Dortmund,3.35,1.12,33.3,0.0,0.0
dbfbdf06,Paul Mukairu,FW,dk FC Copenhagen,4.09,0.0,0.0,0.0,
ac73ec79,Nordi Mukiele,"DF,MF",fr Paris S-G,0.0,0.0,,,
3c6089ab,Thomas Müller,"MF,FW",de Bayern Munich,2.21,0.98,44.4,0.11,0.25
2c0558b8,Jamal Musiala,"MF,FW",de Bayern Munich,1.7,0.68,40.0,0.0,0.0
2946f9a1,Nacho,DF,es Real Madrid,0.2,0.2,100.0,0.0,0.0
5cdddffa,Tanguy Ndombele,MF,it Napoli,1.93,0.72,37.5,0.13,0.33
8778c910,Manuel Neuer,GK,de Bayern Munich,0.0,0.0,,,
69384e5d,Neymar,"MF,FW",fr Paris S-G,3.01,1.0,33.3,0.11,0.33
c14bc029,Saúl Ñíguez,"MF,DF",es Atlético Madrid,1.6,0.32,20.0,0.0,0.0
7c56da38,Christopher Nkunku,"MF,FW",de RB Leipzig,2.4,1.28,53.3,0.2,0.38
5458f670,Hugo Novoa,MF,de RB Leipzig,0.0,0.0,,,
ee8508c0,Jan Oblak,GK,es Atlético Madrid,0.0,0.0,,,
41c12f75,Mathías Olivera,DF,it Napoli,0.7,0.0,0.0,0.0,
ae44e8e2,Dani Olmo,"FW,MF",de RB Leipzig,2.77,0.0,0.0,0.0,
e9c0c1b2,André Onana,GK,it Inter,0.0,0.0,,,
20030c06,Willi Orban,DF,de RB Leipzig,0.5,0.12,25.0,0.0,0.0
c1242d4e,Stefan Ortega,GK,eng Manchester City,0.0,0.0,,,
8c90fd7a,Victor Osimhen,FW,it Napoli,3.21,1.5,46.7,0.33,0.71
28b1f3ce,Otávio,MF,pt Porto,0.86,0.34,40.0,0.0,0.0
15413fa5,Salih Özcan,MF,de Dortmund,0.33,0.17,50.0,0.0,0.0
dc7f8a28,Cole Palmer,"MF,FW",eng Manchester City,2.61,1.3,50.0,0.0,0.0
13d23b29,Antonios Papadopoulos,"MF,FW",de Dortmund,0.0,0.0,,,
5c899683,Felix Passlack,DF,de Dortmund,0.0,0.0,,,
45a03961,Benjamin Pavard,DF,de Bayern Munich,0.91,0.46,50.0,0.33,0.67
0d9b2d31,Pedri,"MF,FW",es Barcelona,1.35,0.67,50.0,0.0,0.0
cc1c5035,Iñaki Peña,GK,es Barcelona,0.0,0.0,,,
c906ce0f,Pepe,DF,pt Porto,0.25,0.0,0.0,0.0,
fc4e7637,Pepê,"DF,FW",pt Porto,0.66,0.26,40.0,0.0,0.0
8fd9996f,Danilo Pereira,"DF,MF",fr Paris S-G,0.2,0.2,100.0,0.0,0.0
4f565d77,Kalvin Phillips,MF,eng Manchester City,0.0,0.0,,,
adfc9123,Gerard Piqué,DF,es Barcelona,0.35,0.35,100.0,0.0,0.0
5e861944,Matteo Politano,FW,it Napoli,2.68,0.67,25.0,0.0,0.0
d2416c2e,Yussuf Poulsen,"FW,MF",de RB Leipzig,0.0,0.0,,,
08511d65,Sergio Ramos,DF,fr Paris S-G,0.75,0.25,33.3,0.0,0.0
3423f250,Raphinha,FW,es Barcelona,3.06,0.0,0.0,0.0,
6e058f06,Giacomo Raspadori,FW,it Napoli,3.6,1.8,50.0,0.4,0.8
7d450ed3,David Raum,DF,de RB Leipzig,0.0,0.0,,,
36a3ff67,Marco Reus,"MF,FW",de Dortmund,2.06,0.69,33.3,0.17,0.5
7fa4e703,Gio Reyna,"FW,MF",de Dortmund,0.7,0.23,33.3,0.0,0.0
335fa267,Sergi Roberto,DF,es Barcelona,1.75,0.87,50.0,0.0,0.0
6434f10d,Rodri,MF,eng Manchester City,1.54,0.36,23.5,0.12,0.5
8f5e92a6,Rodrygo,FW,es Real Madrid,2.53,0.99,39.1,0.13,0.33
90c1f9a4,Tom Rothe,DF,de Dortmund,0.0,0.0,,,
4b3e1a38,Amir Rrahmani,DF,it Napoli,0.44,0.15,33.3,0.0,0.0
18b896d6,Antonio Rüdiger,DF,es Real Madrid,0.8,0.13,16.7,0.17,1.0
0b5a292a,Mário Rui,DF,it Napoli,1.4,0.23,16.7,0.0,0.0
c0c7ff58,Fabián Ruiz Peña,MF,fr Paris S-G,1.89,0.0,0.0,0.0,
4535e4bb,Mathew Ryan,GK,dk FC Copenhagen,0.0,0.0,,,
009a4f60,Julian Ryerson,DF,de Dortmund,0.0,0.0,,,
e280527c,Marcel Sabitzer,MF,de Bayern Munich,3.21,0.96,30.0,0.0,0.0
032f894e,Renato Sanches,MF,fr Paris S-G,0.0,0.0,,,
2b114be3,Leroy Sané,"FW,MF",de Bayern Munich,2.93,1.47,50.0,0.22,0.44
24051310,Zaidu Sanusi,DF,pt Porto,0.77,0.31,40.0,0.2,0.5
eaefa2d0,Alvaro Sanz,MF,es Barcelona,0.0,0.0,,,
9744ff80,Pablo Sarabia,MF,fr Paris S-G,2.97,0.99,33.3,0.0,0.0
f6ac68c1,Stefan Savić,DF,es Atlético Madrid,0.0,0.0,,,
8f056768,Xaver Schlager,MF,de RB Leipzig,0.31,0.0,0.0,0.0,
34e12499,Nico Schlotterbeck,DF,de Dortmund,0.32,0.0,0.0,0.0,
3effaa34,André Silva,FW,de RB Leipzig,2.53,1.18,46.7,0.2,0.43
3eb22ec9,Bernardo Silva,"FW,MF",eng Manchester City,0.79,0.49,62.5,0.38,0.6
fcb27134,Mohamed Simakan,DF,de RB Leipzig,0.35,0.18,50.0,0.5,1.0
343c0d52,Giovanni Simeone,FW,it Napoli,5.13,3.08,60.0,0.27,0.44
b35a7399,Leo Skiri Østigård,DF,it Napoli,0.46,0.46,100.0,1.0,1.0
30f5ffa9,Milan Škriniar,DF,it Inter,0.34,0.0,0.0,0.0,
fed17f5a,Carlos Soler,MF,fr Paris S-G,1.16,0.58,50.0,0.5,1.0
420c18a1,Yann Sommer,GK,de Bayern Munich,0.0,0.0,,,
690d1049,Marko Stamenic,MF,dk FC Copenhagen,0.67,0.0,0.0,0.0,
7ed08d5c,Josip Stanišić,DF,de Bayern Munich,0.0,0.0,,,
d0b8e745,Orri Steinn Óskarsson,"MF,FW",dk FC Copenhagen,0.0,0.0,,,
5eecec3d,John Stones,"MF,DF",eng Manchester City,0.39,0.13,33.3,0.33,1.0
e33c06cf,Niklas Süle,DF,de Dortmund,0.4,0.13,33.3,0.0,0.0
934e1968,Dominik Szoboszlai,FW,de RB Leipzig,2.07,0.41,20.0,0.07,0.33
c8829a58,Christian Sørensen,"DF,MF",dk FC Copenhagen,0.88,0.0,0.0,0.0,
4c2a5d34,Mehdi Taremi,FW,pt Porto,3.24,1.47,45.5,0.14,0.3
4f255115,Aurélien Tchouaméni,MF,es Real Madrid,1.87,0.42,22.2,0.0,0.0
829aa60c,Mathys Tel,FW,de Bayern Munich,4.34,0.62,14.3,0.0,0.0
6f51e382,Marc-André ter Stegen,GK,es Barcelona,0.0,0.0,,,
04e531b6,Pablo Torre,"MF,FW",es Barcelona,0.95,0.95,100.0,1.0,1.0
9e1035f8,Ferrán Torres,"FW,MF",es Barcelona,3.35,1.44,42.9,0.43,1.0
7d3e7da6,Sven Ulreich,GK,de Bayern Munich,0.0,0.0,,,
d248cd8f,Dayot Upamecano,DF,de Bayern Munich,0.0,0.0,,,
b997c3de,Mateus Uribe,MF,pt Porto,1.33,0.3,22.2,0.0,0.0
