Player ID,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Player Link
7c3ed041,50,Leonardo Balerdi,ar ARG,DF,fr Marseille,23,1999,6,5,491,5.5,1,0,1,1,0,0,1,0,0.2,0.2,0.0,0.2,6,29,3,0.18,0.00,0.18,0.18,0.18,0.04,0.00,0.04,0.04,0.04,Matches,https://fbref.com/en/players/7c3ed041/Leonardo-Balerdi
f449640d,51,Fodé Ballo-Touré,sn SEN,"DF,MF",it Milan,25,1997,4,1,135,1.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,3,2,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,https://fbref.com/en/players/f449640d/Fode-Ballo-Toure
6f1d7aa8,52,Tommaso Barbieri,it ITA,MF,it Juventus,19,2002,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,https://fbref.com/en/players/6f1d7aa8/Tommaso-Barbieri
88ce7ddc,53,Roony Bardghji,se SWE,FW,dk FC Copenhagen,16,2005,2,1,98,1.1,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,1,2,7,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.30,0.30,0.30,Matches,https://fbref.com/en/players/88ce7ddc/Roony-Bardghji
6928979a,54,Nicolò Barella,it ITA,MF,it Inter,25,1997,12,12,991,11.0,3,0,3,3,0,0,3,0,1.4,1.4,0.7,2.1,36,51,37,0.27,0.00,0.27,0.27,0.27,0.12,0.07,0.19,0.12,0.19,Matches,https://fbref.com/en/players/6928979a/Nicolo-Barella
712dd708,55,Borna Barišić,hr CRO,DF,sct Rangers,29,1992,6,5,465,5.2,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,5,17,13,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Matches,https://fbref.com/en/players/712dd708/Borna-Barisic
6caffe81,56,Enzo Barrenechea,ar ARG,DF,it Juventus,21,2001,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,https://fbref.com/en/players/6caffe81/Enzo-Barrenechea
45736cec,57,Pablo Barrios,es ESP,MF,es Atlético Madrid,19,2003,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,https://fbref.com/en/players/45736cec/Pablo-Barrios
a36524bf,58,Calvin Bassey,ng NGA,DF,nl Ajax,22,1999,6,6,540,6.0,0,1,1,0,0,0,1,0,0.0,0.0,0.1,0.1,3,16,8,0.00,0.17,0.17,0.00,0.17,0.00,0.02,0.02,0.00,0.02,Matches,https://fbref.com/en/players/a36524bf/Calvin-Bassey
29b7b767,59,Fortune Bassey,ng NGA,FW,cz Viktoria Plzeň,23,1998,5,1,134,1.5,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,2,3,5,0.00,0.00,0.00,0.00,0.00,0.10,0.07,0.17,0.10,0.17,Matches,https://fbref.com/en/players/29b7b767/Fortune-Bassey
75b86fb3,60,Alessandro Bastoni,it ITA,DF,it Inter,23,1999,12,12,983,10.9,0,3,3,0,0,0,2,0,0.2,0.2,2.0,2.2,18,46,21,0.00,0.27,0.27,0.00,0.27,0.02,0.18,0.20,0.02,0.20,Matches,https://fbref.com/en/players/75b86fb3/Alessandro-Bastoni
37d39918,61,Dylan Batubinsika,cd COD,DF,il Maccabi Haifa,26,1996,5,5,450,5.0,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,1,7,0,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches,https://fbref.com/en/players/37d39918/Dylan-Batubinsika
