Player ID,Player,Pos,Squad,SCA90,GCA90
3e2bbae6,Oscar Højlund,MF,dk FC Copenhagen,3.75,0.0
4431aed2,Ciro Immobile,FW,it Lazio,1.97,0.36
5715bb71,Gustav Isaksen,FW,it Lazio,4.78,1.84
90ba7fa6,Ivan Jaime Pajuelo,MF,pt Porto,3.96,0.0
213f0daf,Elias Jelert,DF,dk FC Copenhagen,1.23,0.15
cd1629bc,Valdemar Jensen,DF,dk FC Copenhagen,3.21,0.0
b66315ae,Gabriel Jesus,FW,eng Arsenal,2.8,1.12
79083382,Juan Jesus,DF,it Napoli,0.27,0.0
1bacc518,Frenkie de Jong,MF,es Barcelona,3.04,0.38
abb3bb95,Luuk de Jong,FW,nl PSV Eindhoven,2.51,0.17
45db685d,Jorginho,MF,eng Arsenal,1.99,0.28
6265208f,Joselu,FW,es Real Madrid,1.75,0.0
a29e5244,Mauro Júnior,"DF,MF",nl PSV Eindhoven,3.67,0.0
570bb4b9,Hamed Junior Traorè,MF,it Napoli,7.83,0.0
7111d552,Vinicius Júnior,FW,es Real Madrid,4.67,0.61
15b287da,Daichi Kamada,MF,it Lazio,1.04,0.0
b825a650,Kevin Kampl,MF,de RB Leipzig,4.47,0.96
21a66f6a,Harry Kane,FW,de Bayern Munich,2.67,0.76
8455ad90,Lee Kang-in,"MF,FW",fr Paris S-G,4.59,0.71
49296448,Joshua Kimmich,"MF,DF",de Bayern Munich,3.5,0.37
dc3e663e,Jakub Kiwior,DF,eng Arsenal,2.33,0.0
15fd5593,Davy Klaassen,"MF,FW",it Inter,2.43,1.22
ca8033cb,Lukas Klostermann,DF,de RB Leipzig,0.51,0.0
cd59b9df,Gregor Kobel,GK,de Dortmund,0.33,0.0
55126f3b,Koke,MF,es Atlético Madrid,3.06,0.57
c0b3669f,Randal Kolo Muani,"FW,MF",fr Paris S-G,2.85,0.0
9b94c838,Ilias Kostis,FW,es Atlético Madrid,0.0,0.0
4d1666ff,Jules Koundé,DF,es Barcelona,1.6,0.0
79c0821a,Mateo Kovačić,MF,eng Manchester City,2.69,0.27
1fc08838,Frans Krätzig,DF,de Bayern Munich,0.0,0.0
6ce1f46f,Toni Kroos,MF,es Real Madrid,5.8,0.37
16aa3654,Takefusa Kubo,"FW,MF",es Real Sociedad,6.28,0.16
dea88efd,Khvicha Kvaratskhelia,FW,it Napoli,5.74,0.93
c1b7847c,Konrad Laimer,"DF,MF",de Bayern Munich,1.75,0.22
8e034340,Noa Lang,FW,nl PSV Eindhoven,6.55,0.0
72984eee,Jordan Larsson,"FW,MF",dk FC Copenhagen,2.6,0.0
02caf6e0,Manuel Lazzari,DF,it Lazio,1.69,0.0
9a64e67e,Robin Le Normand,DF,es Real Sociedad,0.31,0.0
bbd86530,Christopher Lenz,DF,de RB Leipzig,0.0,0.0
1b82f8df,Lukas Lerager,MF,dk FC Copenhagen,1.84,0.33
8d78e732,Robert Lewandowski,FW,es Barcelona,1.94,0.19
