Player ID,Player,Pos,Squad,Sh/90,SoT/90,SoT%,G/Sh,G/SoT
2146785a,Davide Calabria,DF,it Milan,0.21,0.0,0.0,0.0,
cd0fa27b,Hakan Çalhanoğlu,MF,it Inter,1.62,0.46,28.6,0.0,0.0
7b9c2d84,Eduardo Camavinga,"MF,DF",es Real Madrid,1.43,0.41,28.6,0.0,0.0
a65ce836,Emre Can,"MF,DF",de Dortmund,0.93,0.0,0.0,0.0,
bd6351cd,João Cancelo,DF,es Barcelona,1.15,0.66,57.1,0.14,0.25
6885cc44,Nicolás Capaldo,"MF,DF",at RB Salzburg,1.27,0.85,66.7,0.0,0.0
4a5839fa,Fábio Cardoso,DF,pt Porto,0.0,0.0,,,
8d3cd59d,Carlos,"DF,FW",it Inter,1.14,0.38,33.3,0.0,0.0
3ce20eda,David Carmo,DF,pt Porto,0.25,0.0,0.0,0.0,
88ced02c,Cameron Carter-Vickers,DF,sct Celtic,0.6,0.3,50.0,0.0,0.0
4958bfb2,Dani Carvajal,DF,es Real Madrid,0.39,0.0,0.0,0.0,
966e28d0,Fabio Carvalho,MF,de RB Leipzig,2.93,0.73,25.0,0.0,0.0
adc77724,Vitor Carvalho,MF,pt Braga,1.36,0.0,0.0,0.0,
2ef08833,Marc Casado,MF,es Barcelona,0.0,0.0,,,
3f5f38fb,Nicolò Casale,DF,it Lazio,0.0,0.0,,,
4d224fe8,Casemiro,MF,eng Manchester Utd,2.71,1.08,40.0,0.4,1.0
da76bab4,Valentín Castellanos,FW,it Lazio,2.89,0.41,14.3,0.0,0.0
37d0048f,André Castro,MF,pt Braga,18.0,18.0,100.0,1.0,1.0
ba3d3bea,Danilo Cataldi,MF,it Lazio,0.56,0.56,100.0,0.0,0.0
c0617e2b,Dani Ceballos,MF,es Real Madrid,1.18,0.59,50.0,0.5,1.0
ff9e56c6,Miguel Chaiwa,DF,ch Young Boys,1.5,1.5,100.0,0.0,0.0
262e5a82,Chiquinho,MF,pt Benfica,1.55,0.0,0.0,0.0,
1cb49278,Andreas Christensen,"DF,MF",es Barcelona,0.49,0.0,0.0,0.0,
b8a642fc,Samuel Chukwueze,FW,it Milan,4.91,2.18,44.4,0.22,0.5
b3a712de,Viktor Claesson,"FW,MF",dk FC Copenhagen,1.13,0.19,16.7,0.0,0.0
b9beb6c5,William Clem,MF,dk FC Copenhagen,1.32,0.0,0.0,0.0,
bf356094,Ebrima Colley,"MF,FW",ch Young Boys,4.29,0.71,16.7,0.17,1.0
042e8a49,Kingsley Coman,FW,de Bayern Munich,1.92,0.64,33.3,0.22,0.67
5ef3d210,Francisco Conceição,"FW,MF",pt Porto,2.55,1.28,50.0,0.25,0.5
9b909569,Kobe Corbanie,"DF,FW",be Antwerp,0.0,0.0,,,
c693347d,Andreas Cornelius,"FW,MF",dk FC Copenhagen,1.1,1.1,100.0,0.0,0.0
01eb744d,Ángel Correa,FW,es Atlético Madrid,3.72,1.65,44.4,0.0,0.0
59948ef7,David Pereira da Costa,"MF,FW",fr Lens,0.0,0.0,,,
93fffbcf,Diogo Costa,GK,pt Porto,0.0,0.0,,,
9dff291c,Soumaïla Coulibaly,DF,be Antwerp,0.17,0.0,0.0,0.0,
0ab1f153,Juan Cuadrado,"DF,FW",it Inter,0.8,0.0,0.0,0.0,
d9565625,Diogo Dalot,DF,eng Manchester Utd,0.39,0.19,50.0,0.0,0.0
6e33125f,Kevin Danso,DF,fr Lens,1.17,0.17,14.3,0.0,0.0
96e0490d,Matteo Darmian,"DF,FW",it Inter,0.5,0.0,0.0,0.0,
e82900ef,David Datro Fofana,FW,de Union Berlin,3.62,1.81,50.0,0.13,0.25
d781d855,Alphonso Davies,DF,de Bayern Munich,0.33,0.0,0.0,0.0,
e46012d4,Kevin De Bruyne,MF,eng Manchester City,7.0,3.0,42.9,0.14,0.33
dc234f98,Ritchie De Laet,DF,be Antwerp,0.4,0.0,0.0,0.0,
162efffd,Rodrigo De Paul,MF,es Atlético Madrid,0.47,0.0,0.0,0.0,
bc6e544a,Amar Dedić,DF,at RB Salzburg,1.0,0.33,33.3,0.0,0.0
c8e65157,Miloš Degenek,FW,rs Red Star,0.0,0.0,,,
b19db005,Ousmane Dembélé,"FW,MF",fr Paris S-G,2.73,1.06,38.9,0.0,0.0
54b4dc4e,Kerem Demirbay,MF,tr Galatasaray,0.0,0.0,,,
a686ef30,Thomas van den Belt,MF,nl Feyenoord,2.5,0.0,0.0,0.0,
5976f83e,Sergiño Dest,DF,nl PSV Eindhoven,0.48,0.32,66.7,0.0,0.0
230a2fac,Giovanni Di Lorenzo,DF,it Napoli,1.0,0.29,28.6,0.14,0.5
19cda00b,Ángel Di María,FW,pt Benfica,2.62,1.09,41.7,0.08,0.2
31c69ef1,Rúben Dias,DF,eng Manchester City,0.81,0.32,40.0,0.0,0.0
407feb71,Brahim Díaz,"MF,FW",es Real Madrid,2.6,1.12,42.9,0.29,0.67
ac861941,Eric Dier,DF,de Bayern Munich,1.0,0.0,0.0,0.0,
f179ee11,Kevin Diks,DF,dk FC Copenhagen,0.25,0.0,0.0,0.0,
34a0f5ff,Javairô Dilrosun,DF,nl Feyenoord,7.5,7.5,100.0,0.0,0.0
970b8574,Federico Dimarco,DF,it Inter,1.6,0.64,40.0,0.0,0.0
9b5237b1,Andy Diouf,MF,fr Lens,0.0,0.0,,,
c632fa35,Novatus Dismas,DF,ua Shakhtar,0.0,0.0,,,
45c29ae7,Álvaro djaló,FW,pt Braga,1.78,0.44,25.0,0.25,1.0
1a7a4d84,Nasser Djiga,DF,rs Red Star,0.33,0.0,0.0,0.0,
ac295d9e,Marko Dmitrović,GK,es Sevilla,0.0,0.0,,,
f67c9d29,Danilho Doekhi,DF,de Union Berlin,0.0,0.0,,,
fffea3e5,Jeremy Doku,FW,eng Manchester City,3.18,2.12,66.7,0.11,0.17
08f5afaa,Gianluigi Donnarumma,GK,fr Paris S-G,0.0,0.0,,,
e2f16dcc,Nene Dorgeles,"FW,MF",at RB Salzburg,3.26,1.3,40.0,0.0,0.0
67ac5bb8,Gabriel Dos Santos,DF,eng Arsenal,0.57,0.14,25.0,0.0,0.0
6fd8a334,Aleksandar Dragović,DF,rs Red Star,0.33,0.17,50.0,0.0,0.0
3a949a25,Martin Dúbravka,GK,eng Newcastle Utd,0.0,0.0,,,
481c9ece,Denzel Dumfries,DF,it Inter,1.81,0.0,0.0,0.0,
3bb7b8b4,Ederson,GK,eng Manchester City,0.0,0.0,,,
c8d1c3a5,Jorge Eduardo Sánchez,DF,pt Porto,1.2,0.6,50.0,0.0,0.0
d874b374,Eguinaldo,"MF,FW",ua Shakhtar,11.25,5.63,50.0,0.5,1.0
e7f3e8a7,Chidera Ejuke,FW,be Antwerp,1.78,0.0,0.0,0.0,
73d6a176,Jurgen Ekkelenkamp,MF,be Antwerp,0.33,0.0,0.0,0.0,
5d51b074,Meschak Elia,"FW,MF",ch Young Boys,1.27,0.54,42.9,0.29,0.67
cf007308,Elif Elmas,MF,de RB Leipzig,0.0,0.0,,,
cf007308,Elif Elmas,"FW,MF",it Napoli,1.22,0.0,0.0,0.0,
47a34c4f,Mohamed Elneny,MF,eng Arsenal,1.45,0.0,0.0,0.0,
f7dc2ae5,Aritz Elustondo,DF,es Real Sociedad,1.05,0.0,0.0,0.0,
68dc0dac,Mohamed Elyounoussi,"FW,MF",dk FC Copenhagen,2.24,0.92,41.2,0.18,0.43
04e17fd5,Youssef En-Nesyri,FW,es Sevilla,1.76,0.88,50.0,0.2,0.4
016cb21b,Luis Enrique Palma,"FW,MF",sct Celtic,2.03,1.69,83.3,0.17,0.2
980522ec,Christian Eriksen,MF,eng Manchester Utd,0.89,0.89,100.0,0.0,0.0
577efaec,Stephen Eustáquio,MF,pt Porto,1.23,0.7,57.1,0.14,0.25
6f3cc2fe,Evanilson,FW,pt Porto,2.02,1.12,55.6,0.33,0.6
f8fcd2a5,Jonny Evans,DF,eng Manchester Utd,0.0,0.0,,,
762179d9,Rasmus Falk,MF,dk FC Copenhagen,0.29,0.14,50.0,0.0,0.0
8aafd64f,João Félix,FW,es Barcelona,4.5,1.69,37.5,0.19,0.5
507c7bdf,Bruno Fernandes,"MF,FW",eng Manchester Utd,2.33,0.5,21.4,0.07,0.33
de8f6250,Roger Fernandes,FW,pt Braga,10.0,0.0,0.0,0.0,
e08647d6,Carlos Fernández,FW,es Real Sociedad,1.32,0.0,0.0,0.0,
d9d43555,Fernando,FW,at RB Salzburg,7.5,2.5,33.3,0.0,0.0
41f32541,Fernando,MF,es Sevilla,0.0,0.0,,,
e288d4b3,Alessandro Florenzi,DF,it Milan,0.57,0.0,0.0,0.0,
ed1e53f3,Phil Foden,"FW,MF",eng Manchester City,4.55,1.71,37.5,0.17,0.44
26a2dc36,Diogo Fonseca,DF,pt Braga,5.0,0.0,0.0,0.0,
90f87966,José Fonte,DF,pt Braga,0.75,0.0,0.0,0.0,
e73659d3,James Forrest,FW,sct Celtic,0.96,0.0,0.0,0.0,
9a2e0ccc,Emil Forsberg,"MF,FW",de RB Leipzig,2.0,0.22,11.1,0.11,1.0
2e31f3a6,Héctor Fort,DF,es Barcelona,0.0,0.0,,,
6f51170f,Mitchel Frame,FW,sct Celtic,0.0,0.0,,,
86df4d6b,André Franco,"MF,FW",pt Porto,1.91,0.76,40.0,0.0,0.0
00a8d210,Przemysław Frankowski,DF,fr Lens,0.0,0.0,,,
2a7d27c1,Davide Frattesi,MF,it Inter,1.95,0.43,22.2,0.11,0.5
046ca6db,Victor Froholdt,MF,dk FC Copenhagen,0.0,0.0,,,
4b96c347,Angelo Fulgini,MF,fr Lens,2.17,1.24,57.1,0.29,0.5
4f16405e,Niclas Füllkrug,FW,de Dortmund,2.39,0.68,28.6,0.07,0.25
fd4d5f81,Kyogo Furuhashi,FW,sct Celtic,2.01,1.01,50.0,0.2,0.4
3b387cc7,Gianluca Gaetano,MF,it Napoli,4.09,0.0,0.0,0.0,
a4b00319,Javi Galán,DF,es Atlético Madrid,0.0,0.0,,,
a4b00319,Javi Galán,DF,es Real Sociedad,0.0,0.0,,,
5b3d1a7a,Galeno,"MF,FW",pt Porto,2.55,1.7,66.7,0.33,0.5
6c731625,Silvère Ganvoula M'Boussy,FW,ch Young Boys,5.48,0.78,14.3,0.0,0.0
7226539b,Fran Garcia,DF,es Real Madrid,0.0,0.0,,,
c952f633,Ulisses Garcia,DF,ch Young Boys,1.43,0.36,25.0,0.0,0.0
7aa8adfe,Alejandro Garnacho,"FW,MF",eng Manchester Utd,2.39,0.9,37.5,0.13,0.33
19cae58d,Gavi,MF,es Barcelona,1.19,0.8,66.7,0.33,0.5
242e1043,Lutsharel Geertruida,DF,nl Feyenoord,0.33,0.17,50.0,0.0,0.0
9c435456,Mario Gila,DF,it Lazio,0.77,0.51,66.7,0.0,0.0
37337aea,Santiago Giménez,FW,nl Feyenoord,2.85,1.56,54.5,0.18,0.33
16ceb862,Olivier Giroud,FW,it Milan,2.12,1.06,50.0,0.08,0.17
78c513b3,Omri Glazer,GK,rs Red Star,0.0,0.0,,,
ab57e591,Oscar Gloukh,"MF,FW",at RB Salzburg,1.32,0.76,57.1,0.29,0.5
88e357ef,Serge Gnabry,FW,de Bayern Munich,0.96,0.96,100.0,1.0,1.0
50f9bec6,Giorgi Gocholeishvili,DF,ua Shakhtar,0.63,0.63,100.0,0.0,0.0
01e5f06e,Sergio Gómez,"DF,FW",eng Manchester City,1.86,0.0,0.0,0.0,
b7de5bad,Victor Gomez,DF,pt Braga,0.0,0.0,,,
f4b52308,Diogo Gonçalves,MF,dk FC Copenhagen,1.87,0.51,27.3,0.09,0.33
2c56a792,Nicolás González,MF,pt Porto,1.48,0.0,0.0,0.0,
2bd83368,Anthony Gordon,FW,eng Newcastle Utd,1.24,0.41,33.3,0.0,0.0
cc86b9a3,Leon Goretzka,"MF,DF",de Bayern Munich,0.67,0.0,0.0,0.0,
2d970560,Robin Gosens,"DF,MF",de Union Berlin,1.02,0.2,20.0,0.2,1.0
3cd7820a,Lucas Gourna-Douath,MF,at RB Salzburg,0.23,0.0,0.0,0.0,
68cf59f0,Tiago Gouveia,FW,pt Benfica,2.9,2.9,100.0,0.0,0.0
62182b1d,Kamil Grabara,GK,dk FC Copenhagen,0.0,0.0,,,
06c48679,Jonathan Gradit,DF,fr Lens,0.0,0.0,,,
b0b4fd3e,Jack Grealish,FW,eng Manchester City,1.46,0.73,50.0,0.0,0.0
df69b544,Antoine Griezmann,"FW,MF",es Atlético Madrid,2.7,1.18,43.8,0.31,0.71
8b8e759d,Marko Grujić,MF,pt Porto,0.0,0.0,,,
0076ab7f,Nemanja Gudelj,DF,es Sevilla,0.67,0.5,75.0,0.5,0.67
e6bc67d7,Gonçalo Guedes,FW,pt Benfica,0.0,0.0,,,
5ea8ef20,Mattéo Guendouzi,MF,it Lazio,1.09,0.18,16.7,0.0,0.0
048a1cbc,Raphaël Guerreiro,"DF,MF",de Bayern Munich,1.95,0.0,0.0,0.0,
79b51257,Morgan Guilavogui,"FW,MF",fr Lens,3.86,1.29,33.3,0.0,0.0
82518f62,Bruno Guimarães,MF,eng Newcastle Utd,0.5,0.5,100.0,0.0,0.0
d3d774cc,Marc Guiu,FW,es Barcelona,5.14,2.57,50.0,0.5,1.0
bcb2ccd8,Péter Gulácsi,GK,de RB Leipzig,0.0,0.0,,,
819b3158,İlkay Gündoğan,MF,es Barcelona,1.73,0.47,27.3,0.0,0.0
5ad50391,Joško Gvardiol,DF,eng Manchester City,0.25,0.0,0.0,0.0,
1f44ac21,Erling Haaland,FW,eng Manchester City,5.29,2.72,51.4,0.11,0.22
70dcf94d,Janik Haberer,MF,de Union Berlin,1.01,0.25,25.0,0.0,0.0
92432bc6,Amadou Haidara,"MF,DF",de RB Leipzig,1.35,0.34,25.0,0.0,0.0
5167c97e,Massadio Haïdara,DF,fr Lens,0.0,0.0,,,
e42d61c7,Achraf Hakimi,DF,fr Paris S-G,1.77,0.25,14.3,0.07,0.5
da011f18,Lewis Hall,DF,eng Newcastle Utd,0.0,0.0,,,
ba115a40,Sébastien Haller,FW,de Dortmund,0.0,0.0,,,
0b059e15,Micah Hamilton,FW,eng Manchester City,2.52,0.84,33.3,0.33,1.0
4fac8f81,Dávid Hancko,DF,nl Feyenoord,1.17,0.33,28.6,0.14,0.5
cb4f24c6,Joe Hart,GK,sct Celtic,0.0,0.0,,,
39e1138f,Quilindschy Hartman,DF,nl Feyenoord,0.67,0.0,0.0,0.0,
78f85621,Reo Hatate,MF,sct Celtic,2.01,1.34,66.7,0.0,0.0
fed7cb61,Kai Havertz,MF,eng Arsenal,1.68,0.34,20.0,0.1,0.5
0a89e877,Benjamin Henrichs,"DF,MF",de RB Leipzig,0.92,0.37,40.0,0.0,0.0
555f3a0b,Mario Hermoso,DF,es Atlético Madrid,0.44,0.15,33.3,0.33,1.0
c3ee18ef,Lucas Hernández,DF,fr Paris S-G,0.58,0.15,25.0,0.25,1.0
d4c9725f,Theo Hernández,DF,it Milan,1.5,0.33,22.2,0.0,0.0
951f1739,André Horta,MF,pt Braga,0.0,0.0,,,
6603fed7,Ricardo Horta,"FW,MF",pt Braga,3.06,1.08,35.3,0.0,0.0
05d548d8,Mats Hummels,DF,de Dortmund,0.86,0.0,0.0,0.0,
d25422fb,Oh Hyeongyu,FW,sct Celtic,2.6,0.87,33.3,0.0,0.0
2f3452eb,Elseid Hysaj,DF,it Lazio,0.0,0.0,,,
f4cda99f,Yang Hyunjun,FW,sct Celtic,0.0,0.0,,,
3e2bbae6,Oscar Højlund,MF,dk FC Copenhagen,1.91,0.0,0.0,0.0,
491a433d,Rasmus Højlund,FW,eng Manchester Utd,2.04,1.11,54.5,0.45,0.83
43b78598,Mauro Icardi,FW,tr Galatasaray,3.3,0.87,26.3,0.05,0.2
78c3ad07,George Ilenikhena,FW,be Antwerp,1.15,0.57,50.0,0.5,1.0
4431aed2,Ciro Immobile,FW,it Lazio,1.61,0.72,44.4,0.33,0.75
92fa5d28,Hwang In-beom,MF,rs Red Star,2.21,0.68,30.8,0.08,0.25
8e92be30,Alexander Isak,FW,eng Newcastle Utd,1.73,0.87,50.0,0.17,0.33
5715bb71,Gustav Isaksen,FW,it Lazio,2.94,1.1,37.5,0.0,0.0
ef233486,Cedric Itten,FW,ch Young Boys,2.27,1.29,57.1,0.0,0.0
4c82730b,Mirko Ivanić,MF,rs Red Star,1.69,0.24,14.3,0.0,0.0
29fbdc88,Luka Ivanušec,"FW,MF",nl Feyenoord,1.32,0.0,0.0,0.0,
61e65971,Tomoki Iwata,"MF,FW",sct Celtic,0.0,0.0,,,
a93b6f4e,Paul Jaeckel,DF,de Union Berlin,0.0,0.0,,,
08452314,Alireza Jahanbakhsh,"FW,DF",nl Feyenoord,3.65,2.43,66.7,0.33,0.5
90ba7fa6,Ivan Jaime Pajuelo,MF,pt Porto,0.99,0.99,100.0,0.0,0.0
689c9cf4,Saidy Janko,DF,ch Young Boys,0.0,0.0,,,
31dce0c8,Vincent Janssen,FW,be Antwerp,2.64,0.66,25.0,0.08,0.33
213f0daf,Elias Jelert,DF,dk FC Copenhagen,0.0,0.0,,,
cd1629bc,Valdemar Jensen,DF,dk FC Copenhagen,0.0,0.0,,,
b66315ae,Gabriel Jesus,FW,eng Arsenal,3.93,1.96,50.0,0.29,0.57
79083382,Juan Jesus,DF,it Napoli,0.0,0.0,,,
c17bfb65,Joelinton,"MF,FW",eng Newcastle Utd,1.89,0.81,42.9,0.14,0.33
4fb17e20,Alistair Johnston,DF,sct Celtic,0.17,0.0,0.0,0.0,
9bd73cce,Michael Johnston,FW,sct Celtic,1.86,0.93,50.0,0.0,0.0
1bacc518,Frenkie de Jong,MF,es Barcelona,0.0,0.0,,,
abb3bb95,Luuk de Jong,FW,nl PSV Eindhoven,2.51,0.5,20.0,0.07,0.33
