Player ID,Player,Pos,Squad,SCA90,GCA90
9a2e0ccc,Emil Forsberg,"MF,FW",de RB Leipzig,2.24,0.0
c3e39f12,Fraser Forster,GK,eng Tottenham,0.0,0.0
a9142dc3,Timothy Fosu-Mensah,"MF,DF",de Leverkusen,0.0,0.0
f620b04f,Lassina Franck Traoré,FW,ua Shakhtar,0.74,0.0
86df4d6b,André Franco,MF,pt Porto,4.29,0.0
74f2e748,Jeremie Frimpong,"MF,FW",de Leverkusen,1.93,0.48
fd4d5f81,Kyogo Furuhashi,FW,sct Celtic,1.76,0.25
c235e803,Matteo Gabbia,DF,it Milan,0.43,0.0
3b387cc7,Gianluca Gaetano,MF,it Napoli,2.9,2.9
ce30bfc8,Roberto Gagliardini,MF,it Inter,3.1,0.0
1971591f,Cody Gakpo,"FW,MF",eng Liverpool,1.78,0.0
5b3d1a7a,Galeno,"FW,MF",pt Porto,3.84,0.96
c2731c10,Conor Gallagher,MF,eng Chelsea,3.59,0.3
2bed3eab,Eric García,DF,es Barcelona,0.8,0.4
18dd3219,Federico Gatti,DF,it Juventus,0.5,0.0
19cae58d,Gavi,MF,es Barcelona,3.28,0.0
8827bf46,Gerson,MF,fr Marseille,0.0,0.0
8d3d3b0a,Giorgos Giakoumakis,FW,sct Celtic,2.55,0.0
41eebdf5,Samuel Gigot,DF,fr Marseille,0.36,0.0
7b5ab7f2,Bryan Gil,MF,eng Tottenham,11.54,2.31
1338e42b,Gilberto,DF,pt Benfica,1.34,0.45
16ceb862,Olivier Giroud,FW,it Milan,1.64,0.19
88e357ef,Serge Gnabry,"FW,MF",de Bayern Munich,3.16,0.79
0d4fd3a0,Sean Goldberg,DF,il Maccabi Haifa,1.0,0.0
56f6f826,Connor Goldson,DF,sct Rangers,0.29,0.0
7a11550b,Joe Gomez,DF,eng Liverpool,1.51,0.3
6e4df551,Papu Gómez,"FW,MF",es Sevilla,2.2,0.37
01e5f06e,Sergio Gómez,"DF,MF",eng Manchester City,2.95,0.3
f4b52308,Diogo Gonçalves,"FW,MF",pt Benfica,4.62,0.0
c275947b,Pedro Gonçalves,"MF,FW",pt Sporting CP,2.98,0.75
cc86b9a3,Leon Goretzka,MF,de Bayern Munich,2.82,1.04
2d970560,Robin Gosens,DF,it Inter,2.54,0.21
9efa1d25,Mario Götze,"MF,FW",de Eint Frankfurt,2.93,0.52
3cd7820a,Lucas Gourna-Douath,MF,at RB Salzburg,1.71,0.0
62182b1d,Kamil Grabara,GK,dk FC Copenhagen,0.0,0.0
b8e740fb,Ryan Gravenberch,MF,de Bayern Munich,4.25,0.0
3f034750,Ivo Grbić,GK,es Atlético Madrid,0.0,0.0
b0b4fd3e,Jack Grealish,FW,eng Manchester City,5.31,0.58
df69b544,Antoine Griezmann,"FW,MF",es Atlético Madrid,4.64,0.22
ffbbc83b,Florian Grillitsch,MF,nl Ajax,1.53,0.0
b1f4086c,Álex Grimaldo,DF,pt Benfica,2.9,0.6
