Player ID,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Player Link
491a433d,276,Rasmus Højlund,dk DEN,FW,eng Manchester Utd,21-034,2003,5.4,5,11,6,54.5,2.04,1.11,0.45,0.83,9.6,0,0,0,3.5,3.5,0.32,+1.5,+1.5,Matches,https://fbref.com/en/players/491a433d/Rasmus-Hojlund
43b78598,277,Mauro Icardi,ar ARG,FW,tr Galatasaray,31-019,1993,5.8,2,19,5,26.3,3.30,0.87,0.05,0.20,14.7,0,1,2,4.1,2.6,0.14,-2.1,-1.6,Matches,https://fbref.com/en/players/43b78598/Mauro-Icardi
78c3ad07,278,George Ilenikhena,fr FRA,FW,be Antwerp,17-206,2006,1.7,1,2,1,50.0,1.15,0.57,0.50,1.00,13.7,0,0,0,0.8,0.8,0.39,+0.2,+0.2,Matches,https://fbref.com/en/players/78c3ad07/George-Ilenikhena
4431aed2,279,Ciro Immobile,it ITA,FW,it Lazio,34-018,1990,5.6,4,9,4,44.4,1.61,0.72,0.33,0.75,11.8,0,1,1,3.1,2.3,0.25,+0.9,+0.7,Matches,https://fbref.com/en/players/4431aed2/Ciro-Immobile
92fa5d28,280,Hwang In-beom,kr KOR,MF,rs Red Star,27-171,1996,5.9,1,13,4,30.8,2.21,0.68,0.08,0.25,22.3,0,0,0,0.9,0.9,0.07,+0.1,+0.1,Matches,https://fbref.com/en/players/92fa5d28/Hwang-In-beom
8e92be30,281,Alexander Isak,se SWE,FW,eng Newcastle Utd,24-170,1999,3.5,1,6,3,50.0,1.73,0.87,0.17,0.33,14.5,0,0,0,1.4,1.4,0.24,-0.4,-0.4,Matches,https://fbref.com/en/players/8e92be30/Alexander-Isak
5715bb71,282,Gustav Isaksen,dk DEN,FW,it Lazio,22-325,2001,2.7,0,8,3,37.5,2.94,1.10,0.00,0.00,16.5,0,0,0,0.7,0.7,0.09,-0.7,-0.7,Matches,https://fbref.com/en/players/5715bb71/Gustav-Isaksen
ef233486,283,Cedric Itten,ch SUI,FW,ch Young Boys,27-073,1996,3.1,1,7,4,57.1,2.27,1.29,0.00,0.00,17.7,0,1,1,1.3,0.5,0.07,-0.3,-0.5,Matches,https://fbref.com/en/players/ef233486/Cedric-Itten
4c82730b,284,Mirko Ivanić,me MNE,MF,rs Red Star,30-178,1993,4.1,0,7,1,14.3,1.69,0.24,0.00,0.00,16.6,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches,https://fbref.com/en/players/4c82730b/Mirko-Ivanic
29fbdc88,285,Luka Ivanušec,hr CRO,"FW,MF",nl Feyenoord,25-104,1998,2.3,0,3,0,0.0,1.32,0.00,0.00,,23.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,https://fbref.com/en/players/29fbdc88/Luka-Ivanusec
61e65971,286,Tomoki Iwata,jp JPN,"MF,FW",sct Celtic,26-337,1997,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,https://fbref.com/en/players/61e65971/Tomoki-Iwata
a93b6f4e,287,Paul Jaeckel,de GER,DF,de Union Berlin,25-231,1998,1.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,https://fbref.com/en/players/a93b6f4e/Paul-Jaeckel
08452314,288,Alireza Jahanbakhsh,ir IRN,"FW,DF",nl Feyenoord,30-211,1993,0.8,1,3,2,66.7,3.65,2.43,0.33,0.50,16.4,1,0,0,0.3,0.3,0.08,+0.7,+0.7,Matches,https://fbref.com/en/players/08452314/Alireza-Jahanbakhsh
90ba7fa6,289,Ivan Jaime Pajuelo,es ESP,MF,pt Porto,23-165,2000,1.0,0,1,1,100.0,0.99,0.99,0.00,0.00,27.2,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,https://fbref.com/en/players/90ba7fa6/Ivan-Jaime-Pajuelo
689c9cf4,290,Saidy Janko,gm GAM,DF,ch Young Boys,28-139,1995,3.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,https://fbref.com/en/players/689c9cf4/Saidy-Janko
31dce0c8,291,Vincent Janssen,nl NED,FW,be Antwerp,29-268,1994,4.5,1,12,3,25.0,2.64,0.66,0.08,0.33,16.6,0,0,0,1.0,1.0,0.08,0.0,0.0,Matches,https://fbref.com/en/players/31dce0c8/Vincent-Janssen
213f0daf,292,Elias Jelert,dk DEN,DF,dk FC Copenhagen,20-271,2003,6.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,https://fbref.com/en/players/213f0daf/Elias-Jelert
cd1629bc,293,Valdemar Jensen,dk DEN,DF,dk FC Copenhagen,20-286,2003,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,https://fbref.com/en/players/cd1629bc/Valdemar-Jensen
b66315ae,294,Gabriel Jesus,br BRA,FW,eng Arsenal,26-341,1997,3.6,4,14,7,50.0,3.93,1.96,0.29,0.57,11.9,0,0,0,2.0,2.0,0.14,+2.0,+2.0,Matches,https://fbref.com/en/players/b66315ae/Gabriel-Jesus
79083382,295,Juan Jesus,br BRA,DF,it Napoli,32-273,1991,3.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,https://fbref.com/en/players/79083382/Juan-Jesus
c17bfb65,296,Joelinton,br BRA,"MF,FW",eng Newcastle Utd,27-208,1996,3.7,1,7,3,42.9,1.89,0.81,0.14,0.33,16.8,0,0,0,0.5,0.5,0.08,+0.5,+0.5,Matches,https://fbref.com/en/players/c17bfb65/Joelinton
4fb17e20,297,Alistair Johnston,ca CAN,DF,sct Celtic,25-153,1998,6.0,0,1,0,0.0,0.17,0.00,0.00,,14.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,https://fbref.com/en/players/4fb17e20/Alistair-Johnston
9bd73cce,298,Michael Johnston,ie IRL,FW,sct Celtic,24-325,1999,1.1,0,2,1,50.0,1.86,0.93,0.00,0.00,23.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,https://fbref.com/en/players/9bd73cce/Michael-Johnston
1bacc518,299,Frenkie de Jong,nl NED,MF,es Barcelona,26-302,1997,2.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,https://fbref.com/en/players/1bacc518/Frenkie-de-Jong
abb3bb95,300,Luuk de Jong,nl NED,FW,nl PSV Eindhoven,33-195,1990,6.0,3,15,3,20.0,2.51,0.50,0.07,0.33,13.2,0,2,2,2.7,1.2,0.08,+0.3,-0.2,Matches,https://fbref.com/en/players/abb3bb95/Luuk-de-Jong
2a0c8ba4,301,Joan Jordán,es ESP,MF,es Sevilla,29-247,1994,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,https://fbref.com/en/players/2a0c8ba4/Joan-Jordan
45db685d,302,Jorginho,it ITA,MF,eng Arsenal,32-080,1991,3.5,1,1,0,0.0,0.28,0.00,0.00,,35.3,0,1,1,0.8,0.0,0.02,+0.2,0.0,Matches,https://fbref.com/en/players/45db685d/Jorginho
6265208f,303,Joselu,es ESP,FW,es Real Madrid,33-348,1990,2.9,3,28,7,25.0,9.81,2.45,0.11,0.43,10.5,0,0,0,3.9,3.9,0.14,-0.9,-0.9,Matches,https://fbref.com/en/players/6265208f/Joselu
4d8cd038,304,Luka Jović,rs SRB,"FW,MF",it Milan,26-077,1997,0.4,0,5,1,20.0,14.06,2.81,0.00,0.00,13.5,0,0,0,0.6,0.6,0.11,-0.6,-0.6,Matches,https://fbref.com/en/players/4d8cd038/Luka-Jovic
a29e5244,305,Mauro Júnior,br BRA,"DF,MF",nl PSV Eindhoven,24-308,1999,1.1,0,1,1,100.0,0.92,0.92,0.00,0.00,29.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,https://fbref.com/en/players/a29e5244/Mauro-Junior
570bb4b9,306,Hamed Junior Traorè,ci CIV,MF,it Napoli,24-022,2000,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,https://fbref.com/en/players/570bb4b9/Hamed-Junior-Traore
7111d552,307,Vinicius Júnior,br BRA,FW,es Real Madrid,23-241,2000,4.9,3,15,5,33.3,3.05,1.02,0.20,0.60,14.9,0,0,0,1.7,1.7,0.11,+1.3,+1.3,Matches,https://fbref.com/en/players/7111d552/Vinicius-Junior
0a084b35,308,Josip Juranović,hr CRO,DF,de Union Berlin,28-206,1995,4.6,0,4,0,0.0,0.87,0.00,0.00,,28.1,2,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,https://fbref.com/en/players/0a084b35/Josip-Juranovic
d7a03bf3,309,David Jurásek,cz CZE,"MF,DF",pt Benfica,23-215,2000,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,https://fbref.com/en/players/d7a03bf3/David-Jurasek
008042f3,310,Uroš Kabić,rs SRB,DF,rs Red Star,20-068,2004,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,https://fbref.com/en/players/008042f3/Uros-Kabic
85f7d1be,311,Pierre Kalulu,fr FRA,DF,it Milan,23-278,2000,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,https://fbref.com/en/players/85f7d1be/Pierre-Kalulu
15b287da,312,Daichi Kamada,jp JPN,MF,it Lazio,27-217,1996,2.9,0,4,2,50.0,1.40,0.70,0.00,0.00,24.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,https://fbref.com/en/players/15b287da/Daichi-Kamada
0ca476cc,313,Dijon Kameri,at AUT,MF,at RB Salzburg,19-324,2004,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,https://fbref.com/en/players/0ca476cc/Dijon-Kameri
b825a650,314,Kevin Kampl,si SVN,MF,de RB Leipzig,33-152,1990,3.1,0,2,1,50.0,0.64,0.32,0.00,0.00,19.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,https://fbref.com/en/players/b825a650/Kevin-Kampl
21a66f6a,315,Harry Kane,eng ENG,FW,de Bayern Munich,30-225,1993,7.9,6,23,10,43.5,2.92,1.27,0.22,0.50,15.9,1,1,1,4.5,3.7,0.16,+1.5,+1.3,Matches,https://fbref.com/en/players/21a66f6a/Harry-Kane
