Player ID,Player,Pos,Squad,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Sh/90,SoT/90,SoT%,G/Sh,G/SoT,SCA90,GCA90,GA90,Save%,SoTA
116c35df,Donyell Malen,"FW,MF",de Dortmund,0.0,0.0,0.0,0.0,0.0,2.9,0.36,12.5,0.0,0.0,2.9,0.0,,,
c20bdcd7,Reinildo Mandava,DF,es Atlético Madrid,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,,0.88,0.0,,,
c691bfe2,Sadio Mané,FW,de Bayern Munich,0.49,0.16,0.65,0.49,0.65,2.45,1.63,66.7,0.2,0.3,4.4,0.82,,,
7a20d90a,Iván Marcano,DF,pt Porto,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,,1.33,0.0,,,
f0da930c,José María Giménez,DF,es Atlético Madrid,0.0,0.0,0.0,0.0,0.0,0.9,0.22,25.0,0.0,0.0,0.9,0.0,,,
5c4dc0ff,Mariano,FW,es Real Madrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,
82a39b66,João Mário Lopes,DF,pt Porto,0.0,0.0,0.0,0.0,0.0,1.0,0.33,33.3,0.0,0.0,1.33,0.0,,,
d5f2f82b,Marquinhos,DF,fr Paris S-G,0.0,0.0,0.0,0.0,0.0,0.28,0.14,50.0,0.0,0.0,0.41,0.0,,,
f7036e1c,Lautaro Martínez,FW,it Inter,0.27,0.27,0.54,0.27,0.54,2.44,0.72,29.6,0.11,0.38,3.16,0.54,,,
f3945e07,Toni Martínez,FW,pt Porto,0.0,0.0,0.0,0.0,0.0,3.19,0.0,0.0,0.0,,1.61,0.0,,,
0e6bc38c,Eric Maxim Choupo-Moting,FW,de Bayern Munich,0.83,0.0,0.83,0.83,0.83,3.1,1.45,46.7,0.27,0.57,2.68,0.21,,,
b74277a0,Noussair Mazraoui,DF,de Bayern Munich,0.0,0.0,0.0,0.0,0.0,0.92,0.23,25.0,0.0,0.0,2.53,0.69,,,
42fd9c7f,Kylian Mbappé,FW,fr Paris S-G,0.97,0.41,1.38,0.83,1.24,3.46,1.94,56.0,0.24,0.43,3.87,1.11,,,
8f696594,Memphis,FW,es Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,
f20e4cc9,Nuno Mendes,"DF,MF",fr Paris S-G,0.21,0.0,0.21,0.21,0.21,0.21,0.21,100.0,1.0,1.0,2.05,0.2,,,
3cefcaef,Ferland Mendy,DF,es Real Madrid,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,,1.82,0.26,,,
9413b19f,Alex Meret,GK,it Napoli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.1,0.0,0.8,76.7,30.0
d70ce98e,Lionel Messi,"FW,MF",fr Paris S-G,0.59,0.59,1.17,0.59,1.17,3.38,1.17,34.8,0.17,0.5,6.17,1.03,,,
e162b013,Thomas Meunier,DF,de Dortmund,0.0,0.26,0.26,0.0,0.26,0.51,0.0,0.0,0.0,,2.56,0.51,,,
b56dd813,Alexander Meyer,GK,de Dortmund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.11,76.5,17.0
2784f898,Éder Militão,DF,es Real Madrid,0.12,0.0,0.12,0.12,0.12,0.48,0.12,25.0,0.25,1.0,0.36,0.0,,,
e0f8151c,Kim Min-jae,DF,it Napoli,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,,1.26,0.11,,,
dd0daf32,Henrikh Mkhitaryan,MF,it Inter,0.2,0.0,0.2,0.2,0.2,1.49,0.79,53.3,0.13,0.25,2.19,0.1,,,
34e4343c,Anthony Modeste,FW,de Dortmund,0.0,0.0,0.0,0.0,0.0,1.06,0.0,0.0,0.0,,0.53,0.0,,,
6025fab1,Luka Modrić,MF,es Real Madrid,0.24,0.12,0.36,0.12,0.24,0.73,0.24,33.3,0.17,0.5,2.91,0.24,,,
23610943,Nahuel Molina,"DF,MF",es Atlético Madrid,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,,2.7,0.0,,,
