goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team
0,2,0,13,59.09,10,52.63,0,0.0,13,1,91.46,23,56.1,1156,0,4,1,14,0,0,0,9,1,0,0,0,0,89,2,803,10,2,11.76,38,52.78,15,34,4,1,14,4,4,0.0,1,0,0.96,0,0,0,David Alaba,Real Madrid
1,0,0,53,54.08,3,37.5,15,51.72,21,3,89.0,56,52.83,943,17,17,9,20,0,0,0,7,1,0,0,0,0,168,4,550,19,6,18.75,9,33.33,8,23,5,1,7,4,1,14.29,0,2,0.51,0,0,0,Lucas Vázquez,Real Madrid
0,7,0,63,53.85,42,63.64,8,66.67,37,1,86.83,105,57.38,1942,19,22,9,22,0,0,0,19,6,0,0,0,0,212,0,1180,14,7,21.88,100,56.5,23,67,20,2,15,4,2,0.0,1,1,1.19,0,0,0,Mario Hermoso,Atlético Madrid
0,2,1,3,100.0,4,100.0,0,0.0,0,0,76.51,7,100.0,2286,3,1,0,26,69,45,22,23,3,11,13,13,13,32,0,609,1,0,0.0,165,47.83,0,29,0,0,0,0,0,0.0,0,0,0.0,0,2,0,Álex Remiro,Real Sociedad
0,0,0,11,52.38,0,0.0,5,83.33,4,1,77.33,11,50.0,223,2,2,3,3,0,0,0,1,0,0,0,0,0,22,0,58,4,3,37.5,4,66.67,1,6,5,0,2,1,0,0.0,0,1,0.07,0,0,0,Yannick Carrasco,Atlético Madrid
4,3,0,72,52.94,37,59.68,11,78.57,42,1,85.79,109,55.05,2220,19,31,15,26,0,0,0,24,3,0,0,0,0,223,1,1099,12,0,0.0,39,50.0,33,47,15,2,20,11,6,20.0,2,0,2.48,0,0,0,Martín Zubimendi,Real Sociedad
0,4,0,59,52.68,13,54.17,2,33.33,47,3,91.26,72,52.94,1601,10,11,11,24,0,0,0,15,7,0,0,0,0,248,4,1378,15,1,14.29,75,67.57,13,17,27,1,6,1,1,0.0,0,0,0.3,1,0,1,Koke,Atlético Madrid
0,1,0,2,66.67,5,100.0,1,100.0,0,0,70.4,7,87.5,2430,1,0,1,27,80,50,29,21,8,18,4,10,4,10,0,421,0,0,0.0,116,40.28,0,16,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Jan Oblak,Atlético Madrid
0,3,0,81,59.12,10,52.63,31,81.58,34,1,85.25,91,58.33,1139,17,15,17,17,0,0,0,7,5,0,0,0,0,139,3,549,9,0,0.0,25,55.56,22,17,17,1,9,5,2,0.0,0,0,0.38,0,2,0,Pablo Barrios,Atlético Madrid
7,1,0,44,46.32,5,35.71,16,50.0,12,2,80.35,49,44.95,840,17,5,21,21,0,0,0,8,3,0,0,0,0,110,5,229,19,3,16.67,7,58.33,1,0,9,5,23,12,3,30.43,1,8,6.12,0,0,0,Ángel Correa,Atlético Madrid
14,1,1,54,46.55,33,60.0,16,55.17,11,1,71.67,87,50.88,1584,28,24,28,24,0,0,0,13,6,0,0,0,0,71,2,210,9,3,33.33,9,50.0,0,23,0,20,57,31,6,24.56,1,26,11.61,0,0,0,Álvaro Morata,Atlético Madrid
0,1,0,40,67.8,12,48.0,3,30.0,30,1,79.35,52,61.9,876,7,4,1,12,0,0,0,9,1,0,0,0,0,91,1,388,5,3,16.67,23,38.98,10,23,7,0,2,0,1,0.0,0,0,0.19,0,0,0,Kieran Tierney,Real Sociedad
1,5,0,39,55.71,49,68.06,8,80.0,23,0,88.92,88,61.97,1606,9,24,4,20,0,0,0,20,2,0,0,0,0,139,1,1116,4,2,25.0,58,48.33,9,49,3,0,16,6,4,6.25,0,0,1.37,2,0,0,Ronald Araújo,Barcelona
6,3,0,48,42.48,13,37.14,8,44.44,23,3,82.21,61,41.22,1781,18,22,14,27,0,0,0,18,5,0,0,0,0,201,9,596,19,10,20.0,14,58.33,10,21,21,2,19,13,3,31.58,0,15,2.7,0,0,0,Marcos Llorente,Atlético Madrid
7,2,0,24,40.0,2,15.38,8,47.06,7,2,79.24,26,35.62,942,9,6,12,21,0,0,0,14,2,0,0,0,0,122,2,271,20,5,33.33,11,68.75,3,4,9,6,33,14,10,21.21,0,12,5.23,0,0,0,Ferran Torres,Barcelona
0,6,0,75,53.96,42,60.87,8,61.54,56,5,81.55,117,56.25,1161,11,32,13,26,0,0,0,11,2,0,0,0,0,114,7,464,13,5,41.67,14,40.0,12,44,15,1,13,3,3,0.0,0,2,1.11,0,0,0,Saúl Ñíguez,Atlético Madrid
0,0,0,11,57.89,2,66.67,3,75.0,5,0,90.91,13,59.09,160,3,4,2,4,0,0,0,4,0,0,0,0,0,33,1,110,4,2,25.0,2,66.67,4,2,1,0,3,2,0,0.0,0,0,0.1,0,0,0,Marcos Alonso,Barcelona
0,1,0,2,66.67,1,100.0,0,0.0,0,0,83.29,3,75.0,1080,2,0,0,12,26,18,8,8,1,3,2,3,2,2,0,289,0,0,0.0,37,40.66,0,7,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Kepa Arrizabalaga,Real Madrid
1,7,0,23,46.94,38,67.86,1,50.0,18,0,89.79,61,58.1,1975,4,20,2,23,0,0,0,13,2,0,0,0,0,86,2,1179,4,2,50.0,63,47.37,9,58,4,0,14,1,5,7.14,0,1,0.99,0,0,0,Antonio Rüdiger,Real Madrid
1,3,0,44,61.11,46,75.41,3,50.0,25,0,92.32,90,67.67,2043,18,14,6,26,0,0,0,18,6,0,0,0,0,85,1,1299,2,1,50.0,46,58.97,8,83,6,2,5,2,1,20.0,1,0,0.88,0,0,0,Axel Witsel,Atlético Madrid
8,2,0,36,45.0,22,38.6,7,53.85,18,1,78.34,58,42.34,1381,12,13,15,22,0,0,0,11,1,0,0,0,0,95,1,264,14,1,12.5,8,72.73,4,9,12,5,28,15,8,28.57,2,12,7.63,0,0,0,Mikel Oyarzabal,Real Sociedad
0,5,0,58,55.24,23,46.94,14,66.67,31,2,84.58,81,52.6,1631,16,22,6,22,0,0,0,16,3,0,0,0,0,184,1,746,21,9,27.27,58,58.0,15,33,15,0,14,1,3,0.0,0,1,0.41,0,1,0,Hamari Traoré,Real Sociedad
0,3,0,14,66.67,24,55.81,0,0.0,7,0,87.25,38,59.38,709,7,6,0,12,0,0,0,7,3,0,0,0,0,54,0,534,0,1,100.0,40,55.56,7,35,1,0,5,0,2,0.0,1,1,0.22,0,0,0,Iñigo Martínez,Barcelona
8,1,0,21,45.65,30,54.55,6,50.0,5,2,74.91,51,50.5,1188,10,9,7,26,0,0,0,6,0,0,0,0,0,73,4,200,10,1,20.0,3,60.0,5,8,4,7,50,22,11,16.0,2,15,8.94,0,0,0,Joselu,Real Madrid
0,2,0,44,59.46,7,70.0,9,56.25,23,0,84.1,51,60.71,555,12,10,7,11,0,0,0,4,2,0,0,0,0,84,1,238,8,11,28.95,8,33.33,8,7,7,0,2,0,1,0.0,0,2,0.09,0,0,0,Javi Galán,Real Sociedad
0,1,0,15,57.69,17,65.38,1,50.0,6,1,88.33,32,61.54,498,8,5,2,9,0,0,0,4,0,0,0,0,0,20,1,227,4,0,0.0,9,45.0,5,13,3,0,5,2,1,0.0,0,0,0.19,0,0,0,Aritz Elustondo,Real Sociedad
0,5,0,34,50.0,3,60.0,13,61.9,10,0,94.34,37,50.68,1199,11,13,10,17,0,0,0,6,2,0,0,0,0,196,1,750,9,2,40.0,21,72.41,12,15,3,0,3,0,2,0.0,0,0,0.1,0,1,0,Ferland Mendy,Real Madrid
1,9,0,35,51.47,78,60.94,1,100.0,22,0,88.92,113,57.65,1760,13,23,4,21,0,0,0,20,2,0,0,0,0,84,0,1075,3,0,0.0,57,57.0,23,62,10,0,4,3,0,25.0,0,1,0.67,0,1,0,Robin Le Normand,Real Sociedad
0,0,0,16,76.19,14,48.28,1,100.0,14,0,90.84,30,60.0,645,1,4,1,8,0,0,0,10,1,0,0,0,0,40,0,575,0,0,0.0,28,53.85,6,24,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Pau Cubarsí,Barcelona
0,1,0,32,51.61,6,35.29,7,50.0,15,4,88.83,38,48.1,1035,11,7,4,19,0,0,0,10,0,0,0,0,0,144,4,525,14,7,15.56,16,42.11,15,14,12,0,7,0,1,0.0,0,9,0.3,1,0,0,Fran García,Real Madrid
0,3,0,29,47.54,14,42.42,1,25.0,20,1,86.98,43,45.74,949,8,22,5,16,0,0,0,10,3,0,0,0,0,121,6,561,9,0,0.0,11,25.58,12,26,6,1,2,2,0,0.0,0,0,0.65,0,0,0,César Azpilicueta,Atlético Madrid
0,4,0,38,56.72,13,44.83,3,75.0,25,1,89.83,51,53.13,758,10,14,7,20,0,0,0,9,2,0,0,0,0,134,3,592,8,1,16.67,20,66.67,8,14,7,0,10,2,4,0.0,0,0,0.7,0,0,0,Oriol Romeu,Barcelona
5,1,0,29,44.62,4,28.57,13,61.9,5,1,73.2,33,41.77,690,11,13,14,17,0,0,0,6,2,0,0,0,0,51,3,142,11,3,37.5,6,100.0,1,0,2,6,31,12,5,16.13,1,6,5.5,0,0,0,Memphis Depay,Atlético Madrid
0,3,1,29,51.79,33,62.26,6,100.0,18,0,85.19,62,56.88,1182,5,15,0,16,0,0,0,7,4,0,0,0,0,60,0,598,1,1,50.0,33,39.76,23,43,12,1,4,1,0,0.0,0,1,0.28,0,1,0,Stefan Savić,Atlético Madrid
0,10,0,40,47.62,62,47.69,4,50.0,28,2,84.31,102,47.66,2077,8,36,3,25,0,0,0,21,3,0,0,0,0,95,1,1193,9,1,50.0,82,45.81,28,84,6,1,9,0,6,0.0,1,0,0.63,0,2,0,Igor Zubeldia,Real Sociedad
0,4,0,23,41.82,42,73.68,3,60.0,14,2,95.13,65,58.04,1498,6,16,7,21,0,0,0,15,4,0,0,0,0,126,2,1191,6,0,0.0,36,73.47,15,36,7,0,7,1,3,0.0,0,0,0.62,0,0,0,Andreas Christensen,Barcelona
2,3,0,53,46.9,2,20.0,11,47.83,29,3,78.0,55,44.72,1440,13,16,12,24,0,0,0,9,5,0,0,0,0,183,4,638,15,15,21.43,35,45.45,8,22,20,0,10,5,3,20.0,0,4,1.13,1,0,0,Nahuel Molina,Atlético Madrid
0,1,0,58,54.21,12,48.0,20,50.0,20,1,88.49,70,53.03,1378,18,9,16,18,0,0,0,13,4,0,0,0,0,192,1,592,13,8,21.62,12,50.0,5,19,4,0,5,1,3,0.0,0,4,0.15,0,1,0,Alejandro Balde,Barcelona
2,1,0,52,44.44,3,21.43,19,40.43,17,4,81.79,55,41.98,1008,16,6,12,23,0,0,0,15,4,0,0,0,0,129,7,319,16,10,27.03,9,56.25,6,8,22,1,26,12,7,7.69,2,6,2.16,0,0,0,Rodrigo Riquelme,Atlético Madrid
0,2,0,54,55.67,23,57.5,10,58.82,36,2,77.27,77,56.2,1132,8,17,8,21,0,0,0,13,1,0,0,0,0,77,3,391,12,11,37.93,21,36.21,9,32,11,0,7,2,1,0.0,0,0,0.29,0,0,0,Aihen Muñoz,Real Sociedad
0,0,0,9,52.94,1,20.0,1,50.0,5,0,71.05,10,45.45,120,3,2,2,4,0,0,0,0,0,0,0,0,0,7,1,27,1,0,0.0,0,0.0,0,1,3,0,3,0,1,0.0,0,0,0.26,0,0,0,Jon Magunazelaia,Real Sociedad
0,4,1,17,45.95,37,60.66,0,0.0,13,0,86.38,54,55.1,1671,4,12,1,21,0,0,0,19,4,0,0,0,0,54,0,856,4,0,0.0,70,50.0,27,95,6,0,8,1,2,0.0,0,0,0.54,0,0,0,Gabriel Paulista,Atlético Madrid
2,2,0,49,46.23,4,25.0,14,73.68,23,0,83.02,53,43.44,746,12,24,12,20,0,0,0,6,1,0,0,0,0,103,1,269,7,2,40.0,13,54.17,2,5,16,4,25,13,3,8.0,1,2,3.55,0,0,0,Fermín López,Barcelona
3,1,0,69,43.13,11,36.67,31,52.54,22,1,70.51,80,42.11,1007,16,17,35,20,0,0,0,12,1,0,0,0,0,114,2,251,9,4,11.43,9,56.25,5,2,14,1,26,10,7,11.54,1,2,2.42,0,0,0,Ander Barrenetxea,Real Sociedad
