goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team
1,1,0,51,42.86,3,37.5,26,48.15,9,3,77.83,54,42.52,663,16,8,22,16,0,0,0,5,1,0,0,0,0,72,3,179,12,1,12.5,4,36.36,4,6,10,2,31,10,12,3.23,1,0,1.77,0,0,0,Jamie Bynoe-Gittens,Borussia Dortmund
7,0,0,27,34.62,27,62.79,10,50.0,10,1,66.36,54,44.63,923,7,9,29,21,0,0,0,15,2,0,0,0,0,57,0,142,6,0,0.0,3,50.0,3,15,5,5,28,16,4,25.0,0,8,4.25,0,0,0,Benjamin Šeško,RB Leipzig
1,3,0,19,51.35,15,34.88,0,0.0,14,0,91.43,34,42.5,1269,5,8,0,19,0,0,0,17,2,0,0,0,0,99,0,950,5,0,0.0,42,53.16,11,54,9,0,5,2,1,20.0,0,1,0.74,0,1,0,Lukas Klostermann,RB Leipzig
1,2,0,30,65.22,23,60.53,9,69.23,10,0,90.5,53,63.1,1316,11,5,5,22,0,0,0,18,2,0,0,0,0,85,0,972,3,1,33.33,29,40.85,7,54,2,0,4,2,0,25.0,0,0,0.46,0,1,0,Castello Lukeba,RB Leipzig
0,3,0,41,53.95,13,59.09,5,71.43,18,0,85.62,54,55.1,900,20,21,7,15,0,0,0,12,0,0,0,0,0,86,1,506,8,0,0.0,18,47.37,15,11,5,0,4,1,1,0.0,0,2,0.15,0,1,0,Salih Özcan,Borussia Dortmund
0,0,0,3,60.0,0,0.0,1,100.0,1,0,80.0,3,60.0,45,1,1,0,2,0,0,0,0,0,0,0,0,0,9,0,12,1,1,25.0,0,0.0,0,1,1,1,2,0,0,0.0,0,0,0.27,0,0,0,Samuel Bamba,Borussia Dortmund
0,1,0,19,55.88,4,44.44,5,62.5,9,0,86.63,23,53.49,271,5,2,7,11,0,0,0,4,0,0,0,0,0,68,1,162,7,2,50.0,2,50.0,2,5,3,1,8,2,4,0.0,0,1,0.84,0,0,0,Giovanni Reyna,Borussia Dortmund
4,0,0,47,48.96,17,35.42,9,60.0,12,2,73.08,64,44.44,1047,27,18,17,23,0,0,0,12,1,0,0,0,0,49,3,171,12,2,66.67,2,33.33,4,12,10,6,25,14,3,16.0,0,4,4.91,0,0,0,Yussuf Poulsen,RB Leipzig
3,3,0,55,46.61,14,35.0,9,40.91,23,1,76.2,69,43.67,863,24,21,16,22,0,0,0,10,3,0,0,0,0,92,1,253,13,1,12.5,9,47.37,4,10,16,2,25,9,7,12.0,1,0,2.67,0,0,0,Christoph Baumgartner,RB Leipzig
1,3,0,30,47.62,2,16.67,9,81.82,18,0,91.54,32,42.67,1151,3,14,12,19,0,0,0,13,1,0,0,0,0,147,1,768,11,2,28.57,25,60.98,9,10,8,0,4,1,1,25.0,0,0,0.13,0,1,0,Kevin Kampl,RB Leipzig
